id;group;text;condition;time;question;correct
CI0;TraPro;Text2;SE;First;Question1;1
CI0;TraPro;Text2;SE;First;Question2;1
CI0;TraPro;Text2;SE;First;Question3;1
CI0;TraPro;Text2;SE;First;Question4;1
CI0;TraPro;Text2;SE;First;Question5;0
CI1;TraPro;Text1;ELF;Second;Question1;1
CI1;TraPro;Text1;ELF;Second;Question2;1
CI1;TraPro;Text1;ELF;Second;Question3;0
CI1;TraPro;Text1;ELF;Second;Question4;1
CI1;TraPro;Text1;ELF;Second;Question5;0
CI1;TraPro;Text2;SE;First;Question1;1
CI1;TraPro;Text2;SE;First;Question2;1
CI1;TraPro;Text2;SE;First;Question3;1
CI1;TraPro;Text2;SE;First;Question4;1
CI1;TraPro;Text2;SE;First;Question5;1
CI2;TraPro;Text1;SE;Second;Question1;1
CI2;TraPro;Text1;SE;Second;Question2;0
CI2;TraPro;Text1;SE;Second;Question3;1
CI2;TraPro;Text1;SE;Second;Question4;0
CI2;TraPro;Text1;SE;Second;Question5;1
CI2;TraPro;Text2;ELF;First;Question1;1
CI2;TraPro;Text2;ELF;First;Question2;1
CI2;TraPro;Text2;ELF;First;Question3;0
CI2;TraPro;Text2;ELF;First;Question4;0
CI2;TraPro;Text2;ELF;First;Question5;0
CI3;TraPro;Text1;SE;Second;Question1;1
CI3;TraPro;Text1;SE;Second;Question2;0
CI3;TraPro;Text1;SE;Second;Question3;0
CI3;TraPro;Text1;SE;Second;Question4;0
CI3;TraPro;Text1;SE;Second;Question5;1
CI3;TraPro;Text2;ELF;First;Question1;0
CI3;TraPro;Text2;ELF;First;Question2;1
CI3;TraPro;Text2;ELF;First;Question3;1
CI3;TraPro;Text2;ELF;First;Question4;1
CI3;TraPro;Text2;ELF;First;Question5;1
CI4;TraPro;Text1;ELF;Second;Question1;1
CI4;TraPro;Text1;ELF;Second;Question2;0
CI4;TraPro;Text1;ELF;Second;Question3;0
CI4;TraPro;Text1;ELF;Second;Question4;1
CI4;TraPro;Text1;ELF;Second;Question5;1
CI4;TraPro;Text2;SE;First;Question1;1
CI4;TraPro;Text2;SE;First;Question2;1
CI4;TraPro;Text2;SE;First;Question3;1
CI4;TraPro;Text2;SE;First;Question4;1
CI4;TraPro;Text2;SE;First;Question5;0
CI5;TraPro;Text1;SE;First;Question1;1
CI5;TraPro;Text1;SE;First;Question2;0
CI5;TraPro;Text1;SE;First;Question3;0
